Variable,High Risk,Moderate Risk,Others
Transaction Price (£),"338,492.22 (181,637.47) | 93,200.00–1,165,000.00","319,786.12 (159,432.97) | 93,500.00–1,150,000.00","318,381.38 (152,553.83) | 93,500.00–1,160,000.00"
Total Floor Area (sqm),"79.13 (31.46) | 4.80–1,409.00",80.62 (32.15) | 18.00–811.43,"82.74 (34.72) | 4.70–2,148.00"
Number of Habitable Rooms,3.92 (1.36) | 1.00–20.00,4.00 (1.41) | 1.00–11.00,4.10 (1.44) | 1.00–72.00
– Flat,10286,2198,5575
– House,23425,4416,17414
– Maisonette,2057,310,1005
– Bungalow,3796,213,887
– Leasehold (L),0,0,0
– Freehold (F),0,0,0
Policy Management Units (PMUs),16,14,15
